zipcode,population,median_age,household_income
2543,935.0,47.3,71250.0
2554,10434.0,38.8,90469.0
2556,2621.0,60.9,80821.0
2557,4647.0,44.7,57773.0
2558,1243.0,47.2,46194.0
2559,4243.0,53.4,75505.0
2561,479.0,43.8,80938.0
2562,3194.0,47.5,71042.0
2563,9469.0,50.3,82041.0
2564,250.0,48.1,59750.0
2568,4072.0,39.0,46816.0
2571,10628.0,44.3,58927.0
2575,2306.0,54.6,85469.0
2576,5225.0,42.5,82029.0
2601,14503.0,40.1,43052.0
2630,2355.0,45.0,81833.0
2631,9782.0,54.7,67569.0
2632,10293.0,51.3,71412.0
2633,3859.0,58.2,62824.0
2635,3486.0,53.9,63712.0
2638,3479.0,61.8,69375.0
2639,2435.0,53.7,47600.0
2642,4898.0,58.3,57402.0
2644,4829.0,36.7,93800.0
2645,9457.0,51.5,76221.0
2646,1888.0,59.3,66844.0
2648,6456.0,49.5,76364.0
2649,14080.0,52.8,70995.0
2650,1197.0,62.3,70771.0
2652,781.0,57.8,60662.0
2653,5879.0,60.5,49934.0
2655,3465.0,57.0,68684.0
2657,2962.0,57.0,42228.0
2659,835.0,55.8,52118.0
2660,6557.0,56.6,52650.0
2664,9049.0,51.8,52696.0
2666,808.0,58.5,62439.0
2667,3048.0,58.2,47115.0
2668,2934.0,51.2,95957.0
2670,1325.0,57.0,54375.0
2671,913.0,65.0,45250.0
2673,8571.0,47.9,66518.0
2675,6383.0,61.2,64063.0
2702,4632.0,41.4,99120.0
2703,44121.0,39.9,69732.0
2713,40.0,61.5,49375.0
2715,3625.0,40.2,99830.0
2717,4479.0,45.3,81335.0
2718,6524.0,43.2,89113.0
2719,16078.0,46.7,60407.0
2720,30785.0,39.5,45382.0
2721,25722.0,39.1,32641.0
2723,14162.0,38.8,34810.0
2724,17601.0,40.2,33853.0
2725,2320.0,52.7,64028.0
