park_no,address,zip,park_class,park_name
69,375 W ELM ST,60610,COMMUNITY PARK,Seward
70,640 W SCOTT ST,60610,COMMUNITY PARK,Stanton
71,2333 W SUNNYSIDE AVE,60625,REGIONAL PARK,Welles
72,1230 W GREENLEAF AVE,60626,REGIONAL PARK,Loyola
73,6310 S DREXEL AVE,60637,MINI-PARK,Prairie Wolf
74,3020 N OAK PARK AVE,60634,NEIGHBORHOOD PARK,Bell
75,2318 N LAVERGNE AVE,60639,COMMUNITY PARK,Blackhawk
76,6100 W FULLERTON AVE,60639,REGIONAL PARK,Riis
77,1640 N DRAKE AVE,60647,COMMUNITY PARK,Simons
78,2240 N KILBOURN AVE,60639,NEIGHBORHOOD PARK,Hermosa
79,4438 W WRIGHTWOOD AVE,60639,COMMUNITY PARK,Kelvyn
81,2036 N AVERS AVE,60647,COMMUNITY PARK,Mozart
82,6200 W BLOOMINGDALE AVE,60639,COMMUNITY PARK,Amundsen
83,5729 W BLOOMINGDALE AVE,60639,NEIGHBORHOOD PARK,Galewood
84,2611 N LOCKWOOD AVE,60639,NEIGHBORHOOD PARK,Cragin
85,1729 N KILDARE AVE,60639,NEIGHBORHOOD PARK,Greenebaum
86,6813 W IMLAY ST,60631,NEIGHBORHOOD PARK,Pleasant Point
87,5801 N NATOMA AVE,60631,COMMUNITY PARK,Norwood
88,4630 N MILWAUKEE AVE,60630,COMMUNITY PARK,Wilson (Frank)
89,3420 N LONG AVE,60641,COMMUNITY PARK,Chopin
90,4100 N LONG AVE,60641,REGIONAL PARK,Portage
91,6935 W ADDISON,60634,REGIONAL PARK,Shabbona
92,4674 N VIRGINIA AVE,60625,MINI-PARK,Jacob
93,4500 N CALIFORNIA AVE,60625,PARKWAY PARK,Buffalo
94,2634 W SUNNYSIDE AVE,60625,PASSIVE PARK,Sunken Gardens
95,5215 S WOODLAWN AVE,60615,PASSIVE PARK,Elm
96,2500 W LUNT AVE,60645,COMMUNITY PARK,Indian Boundary
97,7340 N ROGERS AVE,60626,COMMUNITY PARK,Pottawattomie
98,6758 N SACRAMENTO AVE,60645,NEIGHBORHOOD PARK,Chippewa
99,6937 N RIDGE BLVD,60626,MINI-PARK,Matanky
100,9625 S LONGWOOD DR,60643,COMMUNITY PARK,Ridge
101,2100 W 91ST ST,60620,NEIGHBORHOOD PARK,Cosme
102,1246 W 92ND ST,60620,COMMUNITY PARK,Brainerd
103,1901 W 100TH ST,60643,NEIGHBORHOOD PARK,Hurley
